Date,Price,Open,High,Low,Vol.,Change %
30-11-2021,458.60,466.55,478.00,455.65,35470000.00,-0.62%
01-12-2021,475.25,467.85,478.40,463.55,28260000.00,3.63%
02-12-2021,479.10,479.40,480.45,471.70,21010000.00,0.81%
03-12-2021,480.10,480.00,484.70,477.30,20950000.00,0.21%
06-12-2021,467.20,480.10,480.90,466.00,17470000.00,-2.69%
07-12-2021,481.80,476.85,484.90,471.00,21280000.00,3.12%
08-12-2021,493.90,484.50,495.95,483.50,20580000.00,2.51%
09-12-2021,493.95,498.00,498.50,489.55,16950000.00,0.01%
10-12-2021,494.45,487.75,496.80,486.55,14570000.00,0.10%
13-12-2021,495.35,499.45,506.40,494.20,21920000.00,0.18%
14-12-2021,489.40,491.95,491.95,483.30,17720000.00,-1.20%
15-12-2021,491.65,487.80,497.70,487.25,16260000.00,0.46%
16-12-2021,491.95,495.00,496.50,487.40,13580000.00,0.06%
17-12-2021,470.20,488.00,488.85,468.20,27340000.00,-4.42%
20-12-2021,447.05,459.90,460.00,440.00,33010000.00,-4.92%
21-12-2021,453.60,452.10,460.90,449.85,18840000.00,1.47%
22-12-2021,470.50,458.15,472.15,458.15,22730000.00,3.73%
23-12-2021,472.35,476.00,478.00,470.95,12120000.00,0.39%
24-12-2021,467.60,474.90,474.90,460.00,15490000.00,-1.01%
27-12-2021,471.15,465.70,472.45,460.10,12560000.00,0.76%
28-12-2021,480.20,475.20,482.80,472.65,22860000.00,1.92%
29-12-2021,476.00,478.75,481.60,474.25,10260000.00,-0.87%
30-12-2021,470.40,472.55,476.40,468.60,11920000.00,-1.18%
31-12-2021,482.40,472.70,483.60,471.85,15540000.00,2.55%
03-01-2022,497.60,493.50,500.85,492.00,32750000.00,3.15%
04-01-2022,489.60,496.80,499.00,484.05,24100000.00,-1.61%
05-01-2022,489.75,486.95,492.75,483.55,15420000.00,0.03%
06-01-2022,488.85,481.50,492.95,477.10,16560000.00,-0.18%
07-01-2022,490.60,490.05,495.50,483.75,15530000.00,0.36%
10-01-2022,503.70,493.10,504.90,491.30,25190000.00,2.67%
11-01-2022,501.30,503.00,507.90,498.15,16270000.00,-0.48%
12-01-2022,507.25,505.85,511.85,503.50,16260000.00,1.19%
13-01-2022,511.95,504.00,513.80,494.80,27570000.00,0.93%
14-01-2022,509.90,509.00,515.40,505.65,12660000.00,-0.40%
17-01-2022,525.00,514.80,526.90,512.00,27940000.00,2.96%
18-01-2022,510.80,527.90,528.50,507.15,19350000.00,-2.70%
19-01-2022,520.85,510.00,522.20,504.80,21800000.00,1.97%
20-01-2022,515.70,519.95,523.20,512.00,18360000.00,-0.99%
21-01-2022,501.85,510.40,513.85,494.25,17950000.00,-2.69%
24-01-2022,478.45,499.70,504.30,473.35,25230000.00,-4.66%
25-01-2022,490.55,473.80,492.50,467.65,22570000.00,2.53%
27-01-2022,494.40,480.75,502.70,476.60,26680000.00,0.78%
28-01-2022,497.30,500.50,509.35,495.30,21780000.00,0.59%
31-01-2022,517.75,505.00,520.00,498.20,27310000.00,4.11%
01-02-2022,504.30,508.00,514.75,493.00,48030000.00,-2.60%
02-02-2022,506.40,508.60,514.45,505.15,14310000.00,0.42%
03-02-2022,504.50,509.10,514.30,502.85,15250000.00,-0.38%
04-02-2022,500.60,503.80,507.80,499.00,12660000.00,-0.77%
07-02-2022,494.60,502.90,504.35,492.50,13390000.00,-1.20%
08-02-2022,492.75,498.00,498.50,479.15,23380000.00,-0.37%
09-02-2022,501.25,496.50,503.70,494.70,12430000.00,1.73%
10-02-2022,507.45,506.70,510.50,504.20,14540000.00,1.24%
11-02-2022,498.85,503.25,507.00,497.00,13530000.00,-1.69%
14-02-2022,471.45,487.00,488.50,468.80,22160000.00,-5.49%
15-02-2022,504.00,476.15,505.50,467.30,30620000.00,6.90%
16-02-2022,498.45,504.00,507.90,496.60,20180000.00,-1.10%
17-02-2022,499.95,505.90,511.50,498.30,27940000.00,0.30%
18-02-2022,493.15,498.00,502.65,491.50,15480000.00,-1.36%
21-02-2022,494.45,490.15,500.40,486.10,22590000.00,0.26%
22-02-2022,478.25,480.55,486.30,471.45,27960000.00,-3.28%
23-02-2022,477.00,481.75,485.40,475.30,17700000.00,-0.26%
24-02-2022,427.95,455.95,461.55,405.45,57270000.00,-10.28%
25-02-2022,459.75,444.85,465.70,441.60,48880000.00,7.43%
28-02-2022,454.05,445.00,457.35,440.45,34480000.00,-1.24%
02-03-2022,447.60,452.95,454.25,444.55,25790000.00,-1.42%
03-03-2022,437.10,458.50,458.50,435.00,29600000.00,-2.35%
04-03-2022,417.25,431.85,431.85,414.75,38770000.00,-4.54%
07-03-2022,394.00,401.75,401.75,387.50,44840000.00,-5.57%
08-03-2022,391.75,390.50,395.45,376.35,55540000.00,-0.57%
09-03-2022,405.90,394.95,409.25,389.50,48380000.00,3.61%
10-03-2022,419.60,427.00,434.95,414.00,59780000.00,3.38%
11-03-2022,418.15,413.60,421.15,407.40,51510000.00,-0.35%
14-03-2022,411.70,418.75,419.00,404.00,40720000.00,-1.54%
15-03-2022,413.65,409.85,424.20,408.00,47710000.00,0.47%
16-03-2022,424.90,427.05,428.55,420.70,27190000.00,2.72%
17-03-2022,433.80,432.00,435.70,429.55,26700000.00,2.09%
21-03-2022,427.95,435.50,436.30,427.10,18270000.00,-1.35%
22-03-2022,440.35,428.10,441.45,421.20,30440000.00,2.90%
23-03-2022,435.80,443.50,447.00,434.60,25470000.00,-1.03%
24-03-2022,433.20,430.00,435.40,427.55,17110000.00,-0.60%
25-03-2022,432.10,437.00,437.00,427.65,15100000.00,-0.25%
28-03-2022,432.70,432.00,434.95,426.50,16760000.00,0.14%
29-03-2022,433.70,436.00,439.35,431.40,18710000.00,0.23%
30-03-2022,435.65,438.45,442.50,434.25,18150000.00,0.45%
31-03-2022,433.75,436.00,438.30,432.60,14250000.00,-0.44%
01-04-2022,441.15,434.00,442.25,430.85,19380000.00,1.71%
04-04-2022,446.75,444.40,449.50,441.30,18660000.00,1.27%
05-04-2022,458.05,450.00,461.90,448.30,28530000.00,2.53%
06-04-2022,456.15,455.90,462.70,452.60,24970000.00,-0.41%
07-04-2022,449.50,456.50,459.10,448.50,19950000.00,-1.46%
08-04-2022,452.05,450.00,456.25,449.70,16320000.00,0.57%
11-04-2022,452.05,457.00,458.90,451.00,14340000.00,0.00%
12-04-2022,438.30,450.80,450.80,435.00,22700000.00,-3.04%
13-04-2022,431.05,441.80,442.85,430.10,16820000.00,-1.65%
18-04-2022,433.80,430.00,436.35,423.65,15300000.00,0.64%
19-04-2022,424.95,436.75,440.25,417.00,12670000.00,-2.04%
20-04-2022,440.55,431.00,441.70,428.25,19640000.00,3.67%
